,nreactions,mean,deviation
0,5,1.1267635536712408,0.8064762204294416
1,6,1.4387063190690625,1.2188846061158969
2,5,1.66048214880689,1.3721512429370366
3,14,1.4815860674328623,0.6050844689667256
4,7,0.5633925967116061,0.6459741941607062
5,14,1.7103544762343117,0.7780101609382823
6,5,0.0,0.0
7,11,1.3565942137599052,0.7568852486929659
8,5,1.4735629632172007,1.0142052028236408
9,9,1.702531950068765,0.9243762106134793
10,11,2.216406398488731,1.3161195902773293
11,7,1.1198458281818053,1.0931262108926587
12,8,1.6440613214307667,0.8197941030376595
13,10,1.1439323639295702,0.7010126580558337
14,7,1.504892792809369,0.8210196053411267
15,25,1.4181819850803175,0.6535746760651385
16,5,1.7430931004837829,1.1320894147751026
17,12,1.2701014133452386,0.6439100694943396
18,7,1.2155593910041331,0.8030344616101461
19,19,1.570379157622158,0.6353860208477573
20,9,1.2362865450191158,0.5900328706786098
21,5,0.4525483399593904,0.6596969000988259
22,11,1.4810827815042924,0.6715816357711565
23,6,0.9428090415820632,0.6666666666666667
24,7,1.672511991143587,0.891369942377906
25,7,1.7362929863098853,0.9066539359472564
26,9,1.2982775718963753,0.8852181362692408
27,21,1.0053780207267975,0.7411516298216667
28,8,1.1145949733102696,0.8882162154968121
29,6,1.8148348612490335,0.9920444567523063
30,6,0.3928371006591931,0.6334307917217434
31,9,1.1285255404083707,0.7100759694735296
32,13,1.1429120831891932,0.630788381261464
33,8,1.6425211278800331,1.5172753027936972
34,5,0.4525483399593904,0.6596969000988258
35,5,1.8338026332211532,1.0569616371425998
36,11,1.396717813312523,0.7038894385562421
37,9,1.050395268046678,0.6149400477661454
38,23,2.0795347228828875,0.7926388566796
39,23,1.5702965173610934,0.576107990364421
40,6,1.0785269224730039,0.6263666921671885
41,14,1.3863982316983812,0.6672682233698174
42,5,1.3576450198781713,1.1648175822848832
43,17,1.2097136216642037,0.5913896705958022
44,8,1.8345263888405678,0.9404854749795905
45,8,0.5303300858899107,0.6846531968814578
46,13,0.6527139518645054,0.7050116453778216
47,16,1.057788825153672,0.8513711302246598
48,6,2.2977898543199937,1.4522570964787855
49,21,1.8611407376179852,0.8524267389371198
50,6,1.6771801379515037,1.0895259450150672
51,7,1.1786769885572177,0.6376824632939402
52,12,1.4164537697459483,0.6618936188066306
53,6,1.8887687505870412,0.9364812070993808
54,10,1.7183519797432185,0.8872803805520334
55,5,2.105964425626941,1.710237947770365
56,6,1.2162329593962862,0.6820717212453509
57,5,2.7773365372396035,1.7338978513493601
58,8,0.7954951288348662,0.7015607600201141
