,nreactions,mean,deviation,cost
0,7,2.1118830051083113,1.746469081995826,0.817657142857143
1,5,1.6126154940226038,0.871476487599197,0.9735199999999999
2,6,1.0580977392529798,0.6167894082972996,0.9635666666666666
3,6,1.8952361099152588,1.1866255043918774,0.9051333333333335
4,6,2.2674342589464818,1.1169739344517884,0.8758166666666667
5,5,1.3028578529234645,1.2257901186890274,0.9726800000000001
6,5,2.247671826160419,1.2914996561690162,0.89238
7,5,1.8760465759735478,1.1315693724990648,0.9334199999999999
8,8,1.4974447544046583,1.0038222987690464,0.8268375
9,8,1.1210751141449322,0.7862509703936313,0.9692000000000001
10,6,1.9167404131925032,1.0767727345024876,0.9635666666666666
11,9,1.7577370220226216,1.0045526335189268,0.9685555555555556
12,6,1.9527047702996967,1.037223683174318,0.9146333333333333
13,8,1.4828604980662088,0.8410557313726812,0.9692000000000001
14,6,1.2940293744379967,0.7767018448989187,0.9788666666666667
15,5,1.0419663637962258,0.7171513764312742,0.97036
16,8,2.2830027243517206,1.1620665043802876,0.7946375
17,7,1.6056482263113971,1.121886120433182,0.9700285714285715
18,7,1.2025866390726017,0.6567620542724949,0.9700285714285715
19,6,1.2398393492964868,0.6381558057249875,0.9692
20,13,1.4878131702130644,1.082140173524639,0.9767846153846153
21,6,2.0433436894814214,1.3090589962050379,0.7883666666666667
22,9,1.8604408598340745,1.1091067720247711,0.9698444444444445
23,5,1.9688100377185773,1.4845157578747936,0.857
24,6,1.637573186052177,0.99248210411553,0.7210333333333333
25,5,2.193876063758469,1.3217064034299166,0.8987
26,5,1.1551034487860732,0.6524844998944567,0.97036
27,8,1.651004755364438,0.7860873346925337,0.97645
28,5,1.7094718206378605,1.1125224017722422,0.97584
29,5,1.8289558583633994,1.0653264608363957,0.8968999999999999
30,5,1.1559591794226542,1.2424807344617073,0.80816
31,6,1.6724852378990702,1.0710917670555289,0.9769333333333332
32,5,1.895182616938603,1.2362373754476719,0.97036
33,7,1.2283937697680938,0.7292908013443908,0.9945142857142856
34,5,2.035084442692542,1.3922755873428168,0.85922
35,9,1.5104454798653022,0.7303213451415015,0.9762888888888889
36,11,0.47490993070361776,0.7535575541862422,0.9583999999999999
37,9,1.5378848948817079,0.9191227302730329,0.9685555555555556
38,9,1.8260345030731766,0.9020787890946362,0.9685555555555556
39,10,1.31267390384812,0.8227315614197235,0.9761599999999999
40,6,1.6462511457139881,1.110991273448998,0.9788666666666667
41,7,1.2025866390726017,0.6567620542724949,0.9700285714285715
42,6,1.1190075346517194,0.7249826999111487,0.9634
43,5,1.7470481083578389,0.9735619687946407,0.9341800000000001
44,10,1.2103040516535473,0.7177493312786902,0.9761599999999999
45,7,1.2025866390726014,0.6567620542724949,0.9700285714285715
46,8,1.4769410271787262,0.7745290196217629,0.97645
47,5,2.1473330576138974,1.4522261324182786,0.8626000000000001
48,8,0.9633655677152243,0.6200215987695298,0.9692000000000001
49,5,0.717975319575053,0.6667169118007286,0.9735199999999999
50,5,1.1551034487860734,0.7653339288196488,0.9726800000000001
51,8,1.4828604980662088,0.8410557313726812,0.9692000000000001
52,6,1.668830501153611,1.1022725427131834,0.9667333333333333
53,6,1.3882252297369533,0.8270077524623904,0.9711333333333334
54,5,1.096539384180563,0.6305564042501759,0.975
55,5,1.8246694596805781,1.3381260639076527,0.94976
56,5,1.2416446043718923,0.8356546394499148,0.975
57,5,1.8914596821549328,1.0307183275669258,0.93108
58,5,2.2231550422592843,1.2718418368952646,0.8949199999999999
59,10,1.4373077917157042,0.868415978591669,0.9761599999999999
60,5,1.5541240068156261,1.0510464173571705,0.9726800000000001
61,5,1.5392708489204403,0.9953116364555107,0.9433400000000001
62,6,2.409099215804491,1.2590194030669566,0.8110333333333334
63,7,1.665136573189798,1.2133499708696625,0.7089142857142857
64,6,1.213690775698862,0.7632235953762502,0.9730666666666666
65,5,1.0848382345852052,0.7636268753665333,0.96128
66,5,1.8735341249520234,1.1357243867418962,0.8242800000000001
67,5,1.9237594312758466,1.048403381612837,0.8558600000000001
68,5,1.6470758097898708,0.9834334124916856,0.9726800000000001
69,5,0.9325483399593903,0.8546072745062409,0.975
70,5,1.8323298789187885,0.9811050987643767,0.89618
71,8,1.1074395047489656,0.6556124947874054,0.96775
72,5,1.101254484635197,1.1607060610123765,0.97036
73,6,1.4963070393398565,0.7709724880664195,0.9705999999999998
74,5,1.1122315779970935,0.7231465390265619,0.97732
75,11,1.0189730214745676,0.694517918078277,0.9601272727272726
76,6,2.3674669918016127,1.2497066493367508,0.9139333333333334
77,7,1.2025866390726017,0.6567620542724948,0.9700285714285715
78,5,2.3357447766948125,1.3799624408450033,0.8949
79,7,1.5316896523892194,1.1161377797824379,0.9804285714285713
80,6,1.2019414184740302,0.7069520995096343,0.9957999999999999
81,5,1.628751415188313,0.9312190008381852,0.9341800000000001
82,6,1.1231851212115247,0.6787322047105725,0.9769333333333332
83,6,0.9984394611844232,1.081566137143922,0.9044333333333333
84,6,1.2019414184740302,0.7069520995096344,0.9957999999999999
85,5,1.2786906441625314,1.0416094452966573,0.96804
86,6,1.7272894793723137,1.0877213435050304,0.9730666666666666
87,5,1.3528743251860396,0.7548053128141174,0.9681599999999999
